policy_number,effective_date,expiration_date,state,county,zip,occupancy,construction,foundation,roof_type,roof_condition,year_built,stories,square_feet,protection_class,alarm_type,flood_zone,distance_to_coast_mi,wildfire_score_0_100,hail_score_0_100,hurricane_score_0_100,crime_index_0_100,prior_claims_5yr,covA_dwelling,covB_other_structures,covC_personal_property,covD_loss_of_use,deductible_all_peril,water_backup_limit,ordinance_or_law_pct,written_premium_total,premium_fire,premium_wind,premium_hail,premium_water,premium_theft_liability,expected_loss,expected_loss_ratio,expense_ratio,target_profit_ratio,indicated_premium,uw_tier
HO2026000011,2023-08-02,2024-07-27,CO,Wayne,87463,TenantOccupied,Masonry,Basement,AsphaltShingle,Good,1971,1,2154,3,Burglar,AE,57.1,79,59,44,51,0,319000,32000,232000,91000,2000,5000,10,1574.9,595.55,519.72,312.35,314.98,0.0,1163.46,0.739,0.221,0.076,1654.36,Standard
HO2026000012,2025-01-12,2026-01-07,AZ,Benton,20539,SecondarySeasonal,MobileHome,Crawlspace,WoodShake,Poor,1991,2,1675,10,None,X,35.7,29,60,26,10,0,175000,17000,102000,28000,2500,5000,10,1760.97,910.37,501.88,352.19,211.32,0.0,655.81,0.372,0.25,0.072,967.64,Standard
HO2026000013,2023-06-16,2024-06-10,TN,Marion,62942,SecondarySeasonal,Masonry,Piers,WoodShake,Good,1971,1,2085,8,Fire,VE,27.4,19,25,20,57,1,413000,60000,216000,85000,2500,0,10,3201.29,1450.98,864.35,453.52,640.26,0.0,2975.02,0.929,0.27,0.02,4188.65,Preferred
HO2026000014,2021-10-20,2022-10-15,WA,Lake,14649,Vacant,Masonry,Basement,Metal,Poor,2007,1,600,4,Fire,AE,10.6,29,42,29,48,0,112000,11000,76000,18000,10000,10000,10,700.0,277.46,204.75,119.0,140.0,0.0,477.78,0.683,0.267,0.058,707.15,Standard
HO2026000015,2022-11-27,2023-11-22,IL,Lake,18254,SecondarySeasonal,MobileHome,Piers,FlatMembrane,Fair,2012,1,1622,8,BurglarAndFire,VE,7.8,16,41,29,70,0,263000,32000,181000,45000,2500,25000,10,1436.29,644.15,420.11,241.77,287.26,0.0,867.9,0.604,0.188,0.079,1184.08,Standard
HO2026000016,2025-11-14,2026-11-09,PA,Marion,62946,TenantOccupied,Superior,Basement,FlatMembrane,Poor,1965,1,3000,3,None,AE,71.4,70,77,18,47,0,598000,87000,244000,135000,2000,0,10,3136.18,1312.33,831.09,689.96,627.24,0.0,2062.57,0.658,0.238,0.028,2812.11,Standard
HO2026000017,2023-11-26,2024-11-20,NJ,Union,40071,OwnerOccupied,Frame,Basement,AsphaltShingle,Fair,1995,2,2664,6,Fire,AE,6.5,37,65,18,53,0,461000,54000,240000,112000,2000,0,25,1933.63,889.34,512.41,402.84,386.73,0.0,1450.67,0.75,0.298,0.054,2240.78,Preferred
HO2026000018,2025-02-11,2026-02-06,TN,Jefferson,99127,SecondarySeasonal,MobileHome,Basement,Tile,Fair,1950,1,1792,3,None,AE,37.0,27,41,16,56,0,338000,45000,160000,85000,2500,0,10,2214.26,1049.27,575.71,372.73,442.85,0.0,1805.67,0.815,0.231,0.042,2486.25,Preferred
HO2026000019,2022-11-25,2023-11-20,GA,Franklin,55430,TenantOccupied,Masonry,Piers,FlatMembrane,Poor,1943,1,2678,3,None,X,5.4,17,44,35,41,0,444000,53000,243000,72000,1000,5000,25,4768.57,2112.96,1466.33,826.55,572.23,0.0,3274.98,0.687,0.295,0.101,5417.86,Preferred
HO2026000020,2023-05-14,2024-05-08,NC,Madison,88011,SecondarySeasonal,Frame,Crawlspace,AsphaltShingle,Fair,1955,1,2754,9,Fire,AE,7.3,31,44,8,47,0,494000,71000,261000,96000,2000,5000,10,4368.09,1929.85,1048.34,757.13,873.62,0.0,1445.0,0.331,0.222,0.054,1996.71,Preferred
HO2026000021,2022-11-23,2023-11-18,AZ,Monroe,19835,TenantOccupied,MobileHome,Piers,AsphaltShingle,Fair,2004,1,961,4,BurglarAndFire,VE,15.4,0,49,8,64,0,94000,12000,51000,27000,2000,5000,25,593.9,276.62,142.54,107.89,118.78,0.0,400.15,0.674,0.196,0.071,545.52,Preferred
HO2026000022,2024-04-11,2025-04-06,TX,Lake,36672,TenantOccupied,Frame,Crawlspace,FlatMembrane,Poor,1940,1,1735,6,None,X,9.7,0,86,100,38,1,349000,37000,247000,87000,1000,0,25,6695.83,3022.97,3013.12,1473.08,803.5,0.0,3151.54,0.471,0.315,0.101,5396.59,Standard
HO2026000023,2022-07-16,2023-07-11,LA,Greene,39023,SecondarySeasonal,Superior,Crawlspace,AsphaltShingle,Good,1951,1,1372,9,None,AE,3.3,1,39,8,39,1,324000,26000,172000,79000,1000,10000,10,2591.03,1210.25,621.85,427.52,518.21,0.0,1768.86,0.683,0.244,0.034,2449.84,Preferred
HO2026000024,2024-04-06,2024-10-03,FL,Monroe,44605,SecondarySeasonal,MobileHome,Basement,WoodShake,Poor,1998,2,1824,5,BurglarAndFire,AE,1.9,39,35,78,11,0,216000,20000,124000,35000,2500,5000,10,2937.27,1198.21,1218.97,465.07,587.45,0.0,2213.4,0.754,0.268,0.039,3194.53,Standard
HO2026000025,2021-12-25,2022-06-23,VA,Lincoln,23540,TenantOccupied,Masonry,Crawlspace,Metal,New,2014,1,2041,1,Burglar,AE,11.8,31,60,0,22,0,290000,29000,151000,77000,5000,0,50,702.3,327.3,154.51,140.46,140.46,0.0,339.34,0.483,0.224,0.069,479.95,Preferred
HO2026000026,2025-03-23,2025-09-19,FL,Jefferson,17029,Vacant,Frame,Slab,AsphaltShingle,New,1988,1,805,6,Burglar,X,5.8,33,34,4,75,0,151000,21000,90000,26000,5000,0,10,1281.25,572.15,294.69,200.73,153.75,59.94,986.51,0.77,0.312,0.075,1608.19,Preferred
HO2026000027,2022-10-06,2023-10-01,WA,Washington,69725,Vacant,Superior,Slab,Metal,Poor,1991,1,2352,4,None,VE,33.9,45,72,31,45,0,396000,36000,218000,118000,1000,0,25,2066.3,849.12,614.72,454.59,413.26,0.0,1096.11,0.53,0.217,0.07,1538.84,NonStandard
HO2026000028,2025-07-08,2026-07-03,LA,Jackson,76013,Vacant,Masonry,Piers,WoodShake,Good,1998,2,3024,6,Fire,AE,18.9,38,30,19,49,0,545000,81000,282000,123000,1000,0,10,4328.86,1693.13,1157.97,649.33,865.77,0.0,3430.76,0.793,0.222,0.02,4525.45,Standard
HO2026000029,2022-07-31,2023-07-26,FL,Benton,71609,SecondarySeasonal,MobileHome,Basement,FlatMembrane,Poor,2014,2,1955,2,BurglarAndFire,AE,26.4,31,42,56,90,1,321000,42000,115000,95000,2000,25000,10,4414.4,1862.28,1589.19,750.45,882.88,0.0,3016.93,0.683,0.281,0.067,4623.16,NonStandard
HO2026000030,2024-10-24,2025-10-19,LA,Franklin,65507,SecondarySeasonal,MobileHome,Crawlspace,Metal,New,1984,1,2165,3,BurglarAndFire,X,33.2,33,36,38,44,2,295000,33000,216000,73000,5000,0,10,2811.35,1390.77,885.58,449.82,337.36,0.0,1766.2,0.628,0.18,0.026,2224.21,Standard
HO2026000031,2022-07-09,2023-07-04,NJ,Washington,24512,OwnerOccupied,MobileHome,Piers,Metal,Good,1971,1,2276,7,Fire,AE,7.4,8,41,0,33,0,286000,27000,207000,48000,5000,10000,25,1704.13,862.59,374.91,286.86,340.83,0.0,1164.82,0.684,0.348,0.022,1850.55,Preferred
HO2026000032,2025-04-03,2026-03-29,GA,Monroe,92859,TenantOccupied,Superior,Slab,FlatMembrane,New,2021,1,3435,2,Burglar,AE,9.2,49,43,75,52,0,773000,91000,334000,145000,1000,0,10,2412.87,1068.84,983.25,414.21,482.57,0.0,723.86,0.3,0.194,0.069,981.99,Standard
HO2026000033,2026-01-23,2026-07-22,FL,Marion,86139,OwnerOccupied,MobileHome,Basement,WoodShake,Poor,1977,2,2173,3,None,VE,8.8,31,44,65,30,0,208000,20000,77000,45000,5000,0,25,2944.83,1318.7,1126.4,510.44,588.97,0.0,1284.87,0.436,0.291,0.075,2027.21,Standard
HO2026000034,2025-10-28,2026-10-23,WA,Benton,87455,TenantOccupied,Superior,Basement,WoodShake,Poor,1971,2,2117,4,Burglar,AE,20.8,45,26,11,54,0,480000,62000,265000,137000,2000,5000,10,3260.63,1443.58,807.01,467.36,652.13,0.0,1538.44,0.472,0.352,0.05,2573.07,Standard
HO2026000035,2024-08-13,2025-08-08,MI,Lincoln,54083,Vacant,Frame,Basement,Metal,Poor,1957,1,619,7,BurglarAndFire,X,16.9,55,43,9,52,1,106000,13000,47000,25000,1000,0,10,793.6,371.68,192.45,136.23,95.23,0.0,580.35,0.731,0.232,0.079,843.21,Standard
HO2026000036,2025-11-08,2026-11-03,SC,Cleveland,23856,Vacant,MobileHome,Slab,AsphaltShingle,Poor,1981,1,3304,8,None,VE,17.5,60,31,84,35,1,439000,44000,198000,104000,2000,5000,50,9001.74,3178.72,3870.75,1365.26,1800.35,0.0,5603.45,0.622,0.2,0.042,7393.41,Decline
HO2026000037,2022-08-30,2023-08-25,IL,Greene,80870,Vacant,Frame,Slab,Tile,Poor,1997,1,1042,4,Burglar,VE,42.3,36,35,36,68,1,216000,23000,123000,48000,2500,10000,10,1605.01,733.24,497.55,254.13,321.0,0.0,1158.5,0.722,0.306,0.038,1766.1,NonStandard
HO2026000038,2024-01-07,2025-01-01,NC,Madison,33170,OwnerOccupied,Masonry,Piers,Metal,Poor,1948,1,2464,3,Fire,VE,21.8,29,35,100,43,0,370000,30000,129000,79000,5000,0,25,2643.98,1001.67,1189.79,418.63,528.8,0.0,2077.65,0.786,0.272,0.086,3233.81,Standard
HO2026000039,2022-11-27,2023-05-26,WA,Union,73947,TenantOccupied,Frame,Piers,WoodShake,New,1947,1,2964,7,BurglarAndFire,X,4.7,66,41,17,67,0,655000,70000,488000,111000,2500,0,25,4497.99,1482.36,1180.72,757.16,539.76,537.99,2257.01,0.502,0.237,0.109,3451.64,Preferred
HO2026000040,2025-07-31,2026-07-26,NC,Union,18924,TenantOccupied,MobileHome,Piers,AsphaltShingle,Good,1963,1,1209,6,None,VE,9.9,27,46,65,42,0,181000,23000,68000,27000,1000,0,10,2425.5,1304.02,927.75,428.5,485.1,0.0,1146.39,0.473,0.234,0.09,1694.26,Standard
HO2026000041,2025-09-30,2026-09-25,FL,Washington,25330,OwnerOccupied,Masonry,Crawlspace,Metal,Good,1962,1,1833,1,Fire,AE,39.2,10,63,40,64,0,327000,47000,127000,54000,1000,0,10,2148.85,996.47,687.63,440.52,429.77,0.0,1183.59,0.551,0.308,0.071,1906.87,Standard
HO2026000042,2021-05-13,2022-05-08,IL,Greene,44072,Vacant,Masonry,Slab,WoodShake,Good,1956,1,3157,2,Fire,AE,64.8,25,9,14,21,0,473000,49000,242000,101000,2500,0,25,2035.32,891.71,519.01,234.06,407.06,0.0,1084.73,0.533,0.249,0.075,1604.79,Preferred
HO2026000043,2023-12-01,2024-11-25,VA,Clay,80797,Vacant,Frame,Basement,WoodShake,Good,2011,2,2687,7,Fire,AE,37.6,21,40,8,69,0,552000,46000,401000,115000,5000,10000,10,3263.98,945.78,783.36,544.0,652.8,338.05,1234.79,0.378,0.32,0.061,1994.82,Standard
HO2026000044,2022-02-19,2023-02-14,MI,Grant,85393,OwnerOccupied,Masonry,Slab,WoodShake,Good,1986,3,1018,8,None,X,2.9,0,51,29,41,0,164000,15000,96000,46000,2000,0,25,823.92,208.72,241.0,152.43,98.87,122.91,476.47,0.578,0.221,0.076,677.86,Preferred
HO2026000045,2023-06-16,2023-12-13,FL,Jefferson,96282,SecondarySeasonal,Masonry,Slab,Tile,Fair,1972,1,2371,3,Fire,VE,20.6,12,55,52,51,1,518000,60000,225000,88000,5000,5000,10,3926.05,1749.71,1374.12,752.49,785.21,0.0,2758.75,0.703,0.254,0.039,3902.14,Standard
HO2026000046,2022-11-10,2023-11-05,PA,Cleveland,94903,TenantOccupied,Frame,Crawlspace,Metal,New,1945,2,2549,8,BurglarAndFire,VE,38.1,50,8,30,39,1,438000,63000,252000,91000,2000,10000,10,2980.94,1423.62,879.38,337.84,596.19,0.0,1395.76,0.468,0.321,0.068,2286.46,Standard
HO2026000047,2022-11-14,2023-11-09,NC,Monroe,92119,TenantOccupied,Superior,Crawlspace,WoodShake,Good,1971,1,3136,5,BurglarAndFire,AE,19.3,22,48,0,72,1,530000,71000,280000,153000,2500,5000,10,3741.51,1525.62,823.13,673.47,748.3,0.0,2211.23,0.591,0.251,0.074,3275.23,Preferred
HO2026000048,2023-09-23,2024-09-17,PA,Marion,56758,Vacant,Superior,Slab,WoodShake,Good,1947,1,2946,10,None,VE,62.1,59,43,3,57,0,741000,78000,487000,171000,1000,0,50,5856.75,2364.63,1332.41,1005.41,1171.35,0.0,2978.28,0.509,0.237,0.027,4045.93,Standard
HO2026000049,2021-03-27,2022-03-22,FL,Union,76290,Vacant,Masonry,Basement,FlatMembrane,New,1994,1,3944,6,None,X,16.2,25,66,38,79,0,938000,133000,506000,149000,5000,0,25,7150.41,2636.89,2252.38,1501.59,858.05,0.0,4827.7,0.675,0.329,0.061,7917.29,Standard
HO2026000050,2021-07-24,2022-07-19,GA,Washington,83355,OwnerOccupied,Superior,Slab,Metal,New,2022,1,3479,4,Fire,VE,12.0,17,55,0,49,0,803000,93000,564000,212000,2500,10000,10,2003.76,799.06,440.83,384.05,400.75,0.0,976.87,0.488,0.296,0.037,1464.88,Preferred
HO2026000051,2023-07-11,2024-07-05,GA,Madison,46662,TenantOccupied,Masonry,Slab,WoodShake,Good,1963,1,2611,7,None,X,2.3,58,34,0,25,1,564000,59000,250000,149000,5000,5000,25,5038.71,2478.6,1108.52,789.4,604.65,57.55,3172.14,0.63,0.18,0.072,4242.79,Preferred
HO2026000052,2026-01-09,2027-01-04,VA,Franklin,33823,SecondarySeasonal,Frame,Basement,AsphaltShingle,Poor,2015,2,2829,8,BurglarAndFire,VE,14.1,17,49,23,21,1,546000,53000,323000,158000,1000,0,25,2861.38,1093.9,794.03,519.82,572.28,0.0,1609.72,0.563,0.319,0.076,2659.63,Standard
HO2026000053,2022-03-20,2023-03-15,VA,Lake,26995,TenantOccupied,Frame,Slab,FlatMembrane,Good,1976,1,2218,10,Fire,X,79.1,33,58,0,50,0,393000,52000,197000,108000,1000,0,10,2248.16,849.39,494.59,442.14,269.78,192.26,1361.65,0.606,0.199,0.02,1743.37,Preferred
HO2026000054,2024-03-30,2024-09-26,WA,Lake,45927,SecondarySeasonal,Superior,Slab,AsphaltShingle,Good,2019,1,1399,5,Fire,VE,10.0,83,49,20,41,0,294000,25000,157000,52000,1000,0,25,1150.27,436.32,310.57,208.97,230.05,0.0,786.62,0.684,0.4,0.024,1366.75,Standard
HO2026000055,2025-05-27,2026-05-22,SC,Marion,45558,SecondarySeasonal,MobileHome,Piers,Metal,New,2014,1,1576,3,Fire,VE,42.6,51,40,34,22,0,209000,18000,138000,60000,2500,10000,10,1257.0,415.4,383.38,209.5,251.4,0.0,787.4,0.626,0.274,0.083,1225.4,Standard
HO2026000056,2025-10-18,2026-04-16,OR,Benton,84662,TenantOccupied,Superior,Slab,WoodShake,Poor,2002,2,3990,8,Burglar,X,25.0,53,40,21,34,0,672000,83000,362000,200000,1000,0,25,3931.76,1597.69,1071.41,655.29,471.81,135.56,1675.69,0.426,0.329,0.067,2777.63,Preferred
HO2026000057,2022-08-05,2023-07-31,GA,Grant,28137,TenantOccupied,Masonry,Crawlspace,FlatMembrane,Good,2021,1,1020,1,BurglarAndFire,VE,,24,82,0,48,0,139000,18000,97000,25000,2000,10000,10,450.0,195.39,99.0,99.0,90.0,0.0,381.76,0.848,0.257,0.065,563.5,Preferred
HO2026000058,2021-11-11,2022-11-06,VA,Grant,52088,OwnerOccupied,Frame,Piers,Metal,Poor,1968,1,1196,9,Fire,VE,28.0,35,23,9,46,0,265000,23000,100000,79000,1000,10000,10,1572.11,640.07,381.24,217.48,314.42,18.91,702.67,0.447,0.254,0.078,1052.64,Standard
HO2026000059,2026-02-10,2027-02-05,SC,Washington,30012,SecondarySeasonal,Masonry,Piers,FlatMembrane,New,2005,1,2869,8,BurglarAndFire,VE,28.9,45,70,100,29,0,452000,64000,211000,106000,1000,5000,10,2748.14,979.91,1236.66,595.43,549.63,0.0,1356.96,0.494,0.273,0.036,1962.2,Standard
HO2026000060,2024-08-22,2025-08-17,MA,Lake,12893,TenantOccupied,Superior,Slab,AsphaltShingle,Good,1993,2,1189,5,Fire,VE,15.5,0,22,28,63,0,263000,32000,169000,42000,2000,0,50,775.81,325.47,224.99,106.03,155.16,0.0,506.5,0.653,0.265,0.023,711.29,Preferred
HO2026000061,2024-06-06,2025-06-01,VA,Washington,84954,TenantOccupied,Superior,Crawlspace,AsphaltShingle,Good,2005,1,2557,7,Burglar,X,49.3,38,39,20,38,1,543000,72000,374000,162000,1000,0,50,2188.17,642.31,590.81,361.05,262.58,331.42,1624.3,0.742,0.341,0.073,2771.73,Preferred
HO2026000062,2025-02-17,2026-02-12,SC,Greene,11955,Vacant,Masonry,Slab,AsphaltShingle,,1983,2,2005,6,None,X,20.7,4,16,0,45,0,474000,48000,228000,80000,1000,0,25,3835.83,1542.15,843.88,485.87,460.3,503.62,2687.59,0.701,0.304,0.046,4134.23,Preferred
HO2026000063,2022-04-10,2023-04-05,NY,Union,64935,SecondarySeasonal,Masonry,Slab,Metal,Poor,1940,1,2708,8,Fire,X,3.3,10,20,0,55,0,465000,42000,200000,115000,2500,10000,25,3056.51,1199.96,672.43,407.53,366.78,409.8,1932.24,0.632,0.18,0.065,2560.4,Preferred
HO2026000064,2024-04-10,2025-04-05,TX,Franklin,61465,SecondarySeasonal,Frame,Slab,AsphaltShingle,Good,1975,1,1393,3,Fire,X,40.1,11,50,48,37,0,230000,21000,166000,35000,5000,5000,10,1519.03,379.76,516.47,278.49,182.28,162.03,1158.77,0.763,0.18,0.048,1500.37,Preferred
HO2026000065,2025-05-27,2025-11-23,WA,Benton,40575,SecondarySeasonal,Masonry,Slab,WoodShake,Poor,2003,1,2749,4,BurglarAndFire,AE,13.2,90,39,0,34,0,343000,38000,249000,89000,1000,0,25,1611.05,465.88,354.43,265.82,322.21,202.7,925.45,0.574,0.19,0.045,1209.44,Standard
HO2026000066,2022-09-22,2023-09-17,CA,Lincoln,51088,OwnerOccupied,MobileHome,Piers,WoodShake,Good,2021,2,1760,8,None,AE,13.2,53,38,10,56,0,235000,26000,95000,40000,2500,10000,10,1555.75,725.28,381.16,254.11,311.15,0.0,611.13,0.393,0.291,0.092,989.46,Standard
HO2026000067,2023-08-19,2024-08-13,MA,Monroe,39150,OwnerOccupied,Superior,Piers,AsphaltShingle,Good,1976,1,2493,6,BurglarAndFire,X,17.2,39,38,9,78,0,585000,47000,345000,154000,1000,25000,10,1805.18,879.78,437.76,294.85,216.62,0.0,1098.81,0.609,0.224,0.084,1588.4,Preferred
HO2026000068,2023-08-08,2024-08-02,TX,Washington,41969,Vacant,Masonry,Slab,WoodShake,Good,2019,1,1607,2,Fire,AE,8.9,0,54,24,64,0,304000,35000,210000,66000,1000,5000,10,1832.06,718.62,512.98,348.09,366.41,0.0,1354.96,0.74,0.23,0.066,1925.23,Standard
HO2026000069,2022-05-01,2023-04-26,CO,Madison,13560,TenantOccupied,Frame,Basement,AsphaltShingle,New,1982,1,4343,4,Fire,VE,38.2,17,17,44,49,0,859000,117000,622000,207000,2500,0,10,4429.36,2116.67,1461.69,568.43,885.87,0.0,2729.01,0.616,0.307,0.056,4281.57,Preferred
HO2026000070,2025-10-04,2026-09-29,MA,Jefferson,99483,TenantOccupied,Masonry,Piers,Metal,Good,1969,1,2505,5,Burglar,X,32.3,31,31,7,52,1,497000,46000,324000,148000,5000,0,25,2180.12,1018.29,517.78,330.65,261.61,51.78,1644.9,0.754,0.24,0.024,2233.73,Preferred
HO2026000071,2024-06-08,2025-06-03,CA,Jefferson,97278,SecondarySeasonal,MobileHome,Piers,FlatMembrane,New,1963,1,2572,8,Burglar,AE,11.9,53,53,26,45,0,390000,38000,197000,83000,5000,25000,25,5520.69,2145.19,1573.4,1039.73,1104.14,0.0,3702.59,0.671,0.333,0.062,6123.86,Standard
HO2026000072,2022-04-27,2023-04-22,LA,Washington,53413,SecondarySeasonal,Frame,Slab,Metal,Good,2019,1,2495,6,Burglar,VE,15.9,32,53,10,28,0,398000,33000,234000,108000,1000,0,10,2479.97,930.9,607.59,467.06,495.99,0.0,1382.37,0.557,0.233,0.086,2029.4,Preferred
HO2026000073,2025-04-16,2026-04-11,OH,Cleveland,15456,SecondarySeasonal,MobileHome,Basement,Metal,Good,1975,1,2451,4,Fire,X,5.7,73,44,0,29,0,320000,41000,120000,49000,2500,0,10,1539.69,603.4,338.73,266.88,184.76,145.92,1326.16,0.861,0.307,0.075,2145.78,Preferred
HO2026000074,2024-01-13,2025-01-07,LA,Jackson,85820,TenantOccupied,Superior,Piers,Metal,Fair,2006,1,2653,4,Fire,AE,12.3,48,57,90,71,0,679000,79000,484000,182000,1000,0,25,3727.23,1233.21,1658.62,726.81,745.45,0.0,2352.33,0.631,0.242,0.062,3376.4,Standard
HO2026000075,2022-03-26,2023-03-21,WA,Jackson,53743,Vacant,Superior,Basement,Tile,Good,2000,1,1417,3,BurglarAndFire,AE,15.5,25,14,32,52,0,299000,39000,128000,57000,10000,0,10,991.17,485.61,297.35,122.24,198.23,0.0,491.23,0.496,0.276,0.074,754.9,Standard
HO2026000076,2022-08-09,2023-08-04,OH,Clay,84407,TenantOccupied,Superior,Crawlspace,WoodShake,New,1973,1,2558,10,BurglarAndFire,VE,30.4,41,20,27,58,1,625000,57000,409000,140000,5000,0,25,3894.61,1508.02,1119.7,519.28,778.92,0.0,1604.2,0.412,0.342,0.06,2682.74,Standard
HO2026000077,2022-06-29,2023-06-24,NY,Lake,52987,Vacant,Masonry,Basement,Tile,New,1945,2,1880,2,Burglar,AE,8.2,27,31,3,10,0,424000,35000,294000,116000,1000,5000,25,1933.0,961.59,439.76,293.17,386.6,0.0,1259.1,0.651,0.321,0.066,2053.68,Preferred
HO2026000078,2023-11-18,2024-11-12,OR,Lincoln,10984,OwnerOccupied,Masonry,Basement,Metal,Good,1966,1,600,5,Burglar,AE,17.4,22,12,21,44,1,121000,17000,71000,20000,2500,25000,10,607.08,285.71,165.43,72.85,121.42,0.0,502.38,0.828,0.27,0.02,708.07,Preferred
HO2026000079,2021-07-18,2022-07-13,NC,Jackson,16175,SecondarySeasonal,Superior,Crawlspace,Metal,Poor,2009,1,2312,7,Burglar,VE,6.0,26,48,100,67,1,522000,53000,377000,131000,10000,5000,25,3101.8,1281.39,1395.81,558.32,620.36,0.0,2609.08,0.841,0.262,0.02,3635.16,NonStandard
HO2026000080,2025-05-02,2026-04-27,FL,Lake,57465,Vacant,Superior,Slab,Tile,Poor,1990,2,3042,7,None,X,46.1,11,32,35,35,0,641000,96000,265000,115000,2000,5000,10,6298.21,2381.65,1936.7,965.73,755.79,258.35,3250.43,0.516,0.198,0.066,4412.98,Standard
HO2026000081,2025-12-17,2026-12-12,NC,Grant,93096,Vacant,MobileHome,Basement,Metal,Good,1978,2,804,6,Burglar,AE,5.4,73,29,41,72,0,98000,10000,36000,16000,1000,0,25,947.18,343.37,305.47,140.5,189.44,0.0,475.51,0.502,0.294,0.08,759.28,NonStandard
HO2026000082,2025-02-23,2026-02-18,AZ,Jackson,43128,SecondarySeasonal,Masonry,Crawlspace,AsphaltShingle,Poor,2011,1,1897,7,BurglarAndFire,X,,30,6,0,26,0,386000,56000,217000,95000,2000,10000,10,1569.89,593.16,345.38,172.69,188.39,270.28,827.51,0.527,0.258,0.086,1262.26,Preferred
HO2026000083,2024-11-22,2025-11-17,VA,Cleveland,95499,OwnerOccupied,MobileHome,Basement,FlatMembrane,Fair,1994,2,1989,6,Fire,VE,27.1,31,41,30,65,1,346000,41000,229000,71000,1000,5000,10,2659.48,995.39,784.55,447.68,531.9,0.0,2076.73,0.781,0.391,0.058,3762.81,Standard
